ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
1,5200.062,7161,169744,999,17,25,26,6,11,1850
2,9520,5217,116888,999,17,2,0,6,8,4400
4,13685,6827,118415,999,14,21,134,6,9,4850
5,6426,2769,95160,999,17,24,76,6,8,3100
7,10353,10912,82558,1390,7,32,183,6,7,3400
8,8330,4920,156921,1896,14,32,347,3,9,3500
9,7259,7065.9,141358,1997,17,25,37,3,10,1700
10,11250,21321,102768,999,7,21,129,3,5,4050
11,8500.051,6053,162684,1598,7,32,183,3,7,4100
12,3272.5,3431.6,115758,1598,7,26,248,6,11,1250
14,5324.0124,9978,123502,999,7,26,241,6,5,3200
15,7021,9712,104458,999,21,9,164,6,7,1950
16,6664,3084,135609,999,7,27,203,6,7,3150
17,8925,4642,80941,999,17,32,183,6,9,3050
19,15351,12684,29303,999,18,11,387,6,4,4650
20,6349.959,3185,79375,999,17,32,282,6,6,4300
21,924.987,3382,155539,999,7,11,181,6,12,400
22,19278,15269,143332,999,17,20,154,3,8,7300
23,4998,8400,247224,999,17,32,347,3,13,2300
24,9202.666667,6566,90754,999,14,21,134,6,6,4450
25,4481.54,5527,217587,1968,7,32,183,3,8,2900
26,4700.5,6092,72524,1198,17,32,173,6,9,1050
27,5831,8161.2,185210,1910,14,24,323,3,12,1050
28,19992,27497.1,91413,2231,0,24,75,3,5,3800
29,3927,3776,150024,999,14,28,161,6,10,1700
30,2856,2676.1,129710,998,17,6,101,6,8,1500
31,18650,16007,125304,999,7,2,23,3,4,10200
32,13090,9968,156940,999,7,1,54,3,4,4000
33,6247.5,7105,100673,1390,7,32,183,6,9,1900
34,8925,4481.9,124674,1586,7,30,336,6,8,3850
35,6902,5102.2,71455,1242,7,8,275,6,4,1650
37,5355,3511.2,124974,1598,14,24,76,6,9,2600
39,6009.5,8008.4,65099,1364,14,24,342,6,10,1750
40,5474,2802.5,83957,998,17,31,86,6,8,1800
41,10049.4548,12310,113601,999,17,32,183,3,6,4900
42,4165,2537,157615,999,7,2,23,6,12,1200
43,9758,8319.2,19811,1149,7,26,352,6,2,1100
44,1921.85,7497.5,202056,1995,8,2,23,3,12,1950
45,9877,7532.9,58692,1198,14,28,161,6,2,4000
46,10499.965,5602,19275,999,17,32,282,6,6,5200
47,6200.019,4259,84077,999,14,9,164,6,7,3200
48,5890.5,11477,61509,999,17,20,87,6,6,6200
49,15799.987,13585,185293,999,7,20,307,6,10,8400
50,4760,4194,181467,1686,7,24,76,3,7,2750
51,21063,7546,95908,999,14,20,95,3,5,8600
52,3258.9935,8403,233932,999,14,31,377,3,10,2300
54,3570,2032,128862,998,14,31,86,6,9,1550
55,11662,10375,178691,1968,7,32,347,3,9,3850
56,4641,4791.3,33782,1242,17,8,275,6,10,1250
57,9100,8297,7559,999,14,23,253,6,1,4050
58,4226.569565,3271,59018,999,17,24,138,6,8,3100
59,8500.051,163,123333,999,13,32,347,6,10,3950
60,3750.047,3441,163057,999,7,6,106,6,9,1300
61,4495.765077,3688,222731,999,17,32,183,6,10,1950
62,1666,7000,139390,998,7,25,2,6,10,650
63,6961.5,6069,47070,1149,17,26,124,6,7,2200
65,2699.991,3466,290644,999,7,31,135,3,11,1700
66,24038,13752,900,999,7,24,260,6,1,8700
67,12700.037,8849,6713,999,14,32,354,6,2,4550
68,2380,6142,115246,999,7,4,85,6,7,1100
69,9100,6842,17394,999,14,32,354,6,2,3800
70,8099.973,11255,64183,999,7,9,166,6,4,2750
71,6299.979,8615,235439,999,14,32,183,3,8,2500
72,18445,14305,85230,999,14,23,294,3,5,7500
73,4199.986,2347,148735,999,14,28,161,6,7,2450
74,8092,4941,1374,999,14,30,179,6,2,3600
75,8925,12274,37879,1582,17,11,384,3,4,3600
76,14756,4804,81060,1995,14,2,0,6,6,5000
78,13361.3,6750,54662,999,17,2,0,6,3,10100
79,11800.04,6454,48455,999,17,32,183,6,4,6100
80,3109.2,1905,152409,999,17,24,367,3,10,2550
81,6465.666667,16807,68680,999,14,27,228,6,7,2300
82,2772.9975,12089,128994,1390,17,27,203,6,8,1400
83,7616,11471,52315,1198,7,27,203,6,7,1250
85,5355,10084,181169,1598,7,24,76,6,10,1950
86,3284.419833,8333,165657,999,7,20,48,6,9,2100
87,6307,3647,79335,999,14,29,381,6,6,2700
88,10900.043,9480,57917,999,14,30,212,6,6,4950
89,16660,8018,141469,999,14,20,95,6,7,6800
90,3765.090583,4854,53712,1240,7,23,253,6,9,975
91,5236,4649,61921,998,14,31,86,6,9,1750
92,5000.340333,11000.3,68035,1242,17,8,39,6,8,3150
94,7497,5939,143030,1598,7,25,17,6,8,2800
95,3733.3275,5740.9,170970,1596,14,9,166,6,11,2150
96,6485.5,7726,119115,1198,14,28,161,6,7,1700
97,3451,4212.1,60923,1497,17,23,72,6,12,1300
98,5890.5,5792.6,55289,1149,17,26,352,6,3,2400
99,16500,9826,2133,999,17,32,282,6,1,6600
101,7810.4103,4462.4,98290,1599,8,2,0,6,8,4150
102,7616,5849.9,83554,1560,17,25,17,3,8,3000
103,8508.5,13115.9,76339,1360,17,6,104,6,5,2750
104,4998,4023.4,67272,1086,17,11,382,6,7,1750
105,3451,4400,96568,1240,7,23,253,6,10,875
106,4700.5,6092,72524,1198,17,32,173,6,9,1050
